"EPA Registration Number","Active Ingredient(s)","Product Name","Company","Contact Time (in minutes)","Formulation Type","Surface Types","Use Sites","Why is this product on List N?","To kill SARS-CoV-2 (COVID-19), follow disinfection directions for the following pathogen(s)","Date Added to List N"
"10324-141","Quaternary ammonium","Maquat 256-NHQ","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline picornavirus","06/24/2020"
"10324-154","Quaternary ammonium","Maquat 64-NHQ","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline picornavirus","06/24/2020"
"55364-4","Quaternary ammonium","Control III Laboratory Germicide","Maril Products Inc","10","Ready-to-use","Hard Nonporous (HN)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus Type 5","06/17/2020"
"1839-94","Quaternary ammonium","NP 3.2 (D&F) Detergent/disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","06/17/2020"
"10324-117","Quaternary ammonium","Maquat 710-M","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR); Porous (P) (laundry presoak only)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Feline calicivirus","06/08/2020"
"10324-85","Quaternary ammonium","Maquat 86-M","Mason Chemical Company","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus; Porcine rotavirus","06/08/2020"
"1839-169","Quaternary ammonium","BTC 885 Neutral Disinfectant Cleaner-64","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","06/08/2020"
"1677-202","Quaternary ammonium","66 Heavy Duty Alkaline Bathroom Cleaner and Disinfectant","Ecolab Inc","2","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","06/04/2020"
"10324-81","Quaternary ammonium","Maquat 7.5-M","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR); Porous (P) (laundry presoak only)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus; Feline calicivirus","06/04/2020"
"1839-167","Quaternary ammonium","BTC 885 Neutral Disinfectant Cleaner-256","Stepan Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","05/28/2020"
"1839-168","Quaternary ammonium","BTC 885 NDC-32","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","05/28/2020"
"1677-21","Quaternary ammonium","Mikro-Quat","Ecolab Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","05/14/2020"
"1839-174","Quaternary ammonium","Stepan Towelette","Stepan Company","10","Wipe","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","05/14/2020"
"70271-34","Quaternary ammonium","KIK Antibacterial Multipurpose Cleaner I","KIK International LLC","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","05/07/2020"
"4822-530","Quaternary ammonium","Fantastik® All-Purpose Cleaner","S.C. Johnson & Son Inc","3","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","05/07/2020"
"6836-245","Quaternary ammonium","CSP-46","Lonza LLC","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","05/07/2020"
"6836-379","Quaternary ammonium","Nugen NR Disinfecant Wipes","Lonza LLC","5","Wipe","Hard Nonporous (HN); Food Contact No Rinse (FCNR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","05/07/2020"
"6836-372","Quaternary ammonium","Nugen 2m Disinfectant Wipes","Lonza LLC","2","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","05/07/2020"
"4822-613","Quaternary ammonium","Scrubbing Bubbles® Disinfectant Bathroom Grime Fighter","S.C. Johnson & Son Inc","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","05/07/2020"
"1839-216","Quaternary ammonium","SC-NDC-64","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","04/30/2020"
"92378-2","Quaternary ammonium","Atmosphere","Atmosphere Global LLC","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/30/2020"
"93672-1","Quaternary ammonium","NeoSan Labs Part A","Neosan Labs Inc","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/30/2020"
"1677-256","Quaternary ammonium","FSC 35K","Ecolab Inc","5","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/30/2020"
"1839-213","Quaternary ammonium","SC-AHD-128","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/30/2020"
"1839-211","Quaternary ammonium","SC-AHD-64","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/23/2020"
"74436-1","Quaternary ammonium","EasyDECON Part 1","EFT Holdings Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Hepatitis A virus; Rhinovirus; Feline calicivirus","04/23/2020"
"1839-155","Quaternary ammonium","BTC 2125M 20% Solution","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","04/23/2020"
"1839-245","Quaternary ammonium","SC-5:256HN","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/23/2020"
"1839-96","Quaternary ammonium","NP 9.0 (D&F) Detergent/disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/23/2020"
"1839-235","Quaternary ammonium","SC-5:256N","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Rotavirus","04/23/2020"
"1839-244","Quaternary ammonium","SC-5:64HN","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus","04/23/2020"
"4822-594","Quaternary ammonium","Scrubbing Bubbles® Bathroom Disinfectant Bathroom Grime Fighter","S.C. Johnson & Son Inc","5","Ready-to-use","Hard Nonporous (HN)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","04/16/2020"
"706-65","Quaternary ammonium","Claire Disinfectant Bathroom Cleaner","Claire Manufacturing Company","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","04/16/2020"
"3573-96","Quaternary ammonium","Malibu Concentrate","The Proctor & Gamble Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","04/16/2020"
"1839-215","Quaternary ammonium","SC-NDC-128","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","04/16/2020"
"1839-233","Quaternary ammonium","SC-5:64N","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Simian rotavirus","04/16/2020"
"6836-233","Quaternary ammonium","BARDAC 205M-50","Lonza LLC","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","04/16/2020"
"70627-35","Quaternary ammonium","Envy Foaming Disinfectant Cleaner","Diversey Inc","3","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","04/16/2020"
"1839-225","Quaternary ammonium","SC-RTU-TB","Stepan Company","3","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rhinovirus","04/16/2020"
"1839-212","Quaternary ammonium","SC-AHD-256","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","04/16/2020"
"91899-1","Quaternary ammonium","MDF-200 Part A","Span-World LLC","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/09/2020"
"1839-246","Quaternary ammonium","SC-5:128HN","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Feline calicivirus","04/09/2020"
"1839-86","Quaternary ammonium","BTC 2125M 10% Solution","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Adenovirus","04/09/2020"
"1839-166","Quaternary ammonium","BTC 885 NDC-128","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","04/09/2020"
"954-11","Quaternary ammonium","Barbicide","King Research Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","04/02/2020"
"1839-236","Quaternary ammonium","SC-5:128N","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","04/02/2020"
"70385-6","Quaternary ammonium","QGC","Prorestore Products","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","04/02/2020"
"1839-100","Quaternary ammonium","Veterinarian Type Disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN)","Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus; Norovirus","03/26/2020"
"1839-95","Quaternary ammonium","NP 4.5 (D&F) Detergent/disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/26/2020"
"4091-20","Quaternary ammonium","Phoenix 2","W.M. Barr & Company Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Feline calicivirus; Rhinovirus","03/26/2020"
"89833-3","Quaternary ammonium","D7 Part 1","Decon7 Systems LLC","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Norovirus","03/26/2020"
"89900-2","Quaternary ammonium","Scrubbing Bubbles® Disinfectant Restroom Cleaner II","S.C. Johnson Professional","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/26/2020"
"89900-3","Quaternary ammonium","Fantastik® Multi-Surface Disinfectant Degreaser","S.C. Johnson Professional","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus","03/26/2020"
"1839-80","Quaternary ammonium","NP 12.5 Detergent/Disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Adenovirus","03/26/2020"
"1839-97","Quaternary ammonium","NP 12.5 (D&F) Detergent/Disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Adenovirus","03/26/2020"
"3862-181","Quaternary ammonium","Foaming Disinfectant Cleaner","ABC Compounding Co Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Poliovirus","03/26/2020"
"61178-2","Quaternary ammonium","Public Places","Microgen Inc","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus","03/26/2020"
"675-30","Quaternary ammonium","Roccal II 10%","Reckitt Benckiser LLC","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Adenovirus","03/26/2020"
"6836-333","Quaternary ammonium","MMR-4U","Lonza LLC","10","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"70627-33","Quaternary ammonium","Envy Liquid Disinfectant Cleaner","Diversey Inc","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Canine parvovirus","03/26/2020"
"9480-11","Quaternary ammonium","BackSpray RTU","Professional Disposables International Inc","5","Ready-to-use","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19)","Feline calicivirus; Norovirus","03/26/2020"
"10324-59","Quaternary ammonium","Maquat 64","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/19/2020"
"1677-233","Quaternary ammonium","Multi-Purpose Disinfectant Cleaner","Ecolab Inc","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Feline calicivirus","03/19/2020"
"706-111","Quaternary ammonium","Claire Disinfectant Spray Q","Claire Manufacturing Company","5","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Poliovirus","03/19/2020"
"9480-9","Quaternary ammonium","AF3 Germicidal Disposable Wipe","Professional Disposables International Inc","3","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a harder-to-kill pathogen than SARS-CoV-2 (COVID-19); Emerging viral pathogen claim","Rotavirus; Adenovirus","03/19/2020"
"10324-105","Quaternary ammonium","Maquat 128-PD","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-108","Quaternary ammonium","Maquat 256-MN","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-112","Quaternary ammonium","Maquat 128-MN","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-113","Quaternary ammonium","Maquat 64-MN","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-114","Quaternary ammonium","Maquat 32-MN","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-115","Quaternary ammonium","Maquat 750-M","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-140","Quaternary ammonium","Maquat MQ2525M-CPV","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-142","Quaternary ammonium","Maquat MQ2525M-14","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-155","Quaternary ammonium","Maquat 128-NHQ","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-156","Quaternary ammonium","Maquat 512-NHQ","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-157","Quaternary ammonium","Maquat 32-NHQ","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-164","Quaternary ammonium","Maquat 256-PD","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-166","Quaternary ammonium","Maquat 32","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-167","Quaternary ammonium","Maquat 32-PD","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-177","Quaternary ammonium","Maquat 705-M","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR); Porous (P) (laundry presoak only)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-194","Quaternary ammonium","Maquat 2420-10","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-198","Quaternary ammonium","Maquat 702.5-M","Mason Chemical Company","10","Dilutable","Food Contact Post-Rinse Required (FCR); Porous (P) (laundry presoak only)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-57","Quaternary ammonium","Maquat 42","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-58","Quaternary ammonium","Maquat 128","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-63","Quaternary ammonium","Maquat 10","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-71","Quaternary ammonium","Maquat 280","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-72","Quaternary ammonium","Maquat 615-HD","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-80","Quaternary ammonium","Maquat 5.5-M","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-93","Quaternary ammonium","Maquat 64-PD","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-94","Quaternary ammonium","Maquat 20-M","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-96","Quaternary ammonium","Maquat 50-DS","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"10324-99","Quaternary ammonium","Maquat 10-PD","Mason Chemical Company","10","Dilutable","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"11346-4","Quaternary ammonium","Clorox QS","The Clorox Company","2","Ready-to-use","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1839-176","Quaternary ammonium","Liquid-pak Neutral Disinfectant Cleaner","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1839-190","Quaternary ammonium","Stepan Disinfectant Wipe","Stepan Company","10","Wipe","Hard Nonporous (HN)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1839-214","Quaternary ammonium","SC-NDC-256","Stepan Company","5","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
"1839-78","Quaternary ammonium","NP 3.2 Detergent/disinfectant","Stepan Company","10","Dilutable","Hard Nonporous (HN); Food Contact Post-Rinse Required (FCR)","Healthcare; Institutional; Residential","Kills a human coronavirus similar SARS-CoV-2 (COVID-19)","Human coronavirus","03/13/2020"
